datetime,basin_id,Year,Month,Day,qcfs,flag
1980-11-25,RC13172117,1980,11,25,0.0,si
1980-11-26,RC13172117,1980,11,26,0.0,si
1980-11-27,RC13172117,1980,11,27,0.0,si
1980-11-28,RC13172117,1980,11,28,0.0,si
1980-11-29,RC13172117,1980,11,29,0.0,si
1980-11-30,RC13172117,1980,11,30,0.0,si
1980-12-01,RC13172117,1980,12,1,0.0,si
1980-12-02,RC13172117,1980,12,2,0.0,si
1980-12-03,RC13172117,1980,12,3,0.0,si
1980-12-04,RC13172117,1980,12,4,0.0,si
1980-12-05,RC13172117,1980,12,5,0.0,si
1980-12-06,RC13172117,1980,12,6,0.0,si
1980-12-07,RC13172117,1980,12,7,0.0,si
1980-12-08,RC13172117,1980,12,8,0.0,si
1980-12-09,RC13172117,1980,12,9,0.0,si
1980-12-10,RC13172117,1980,12,10,0.0,si
1980-12-11,RC13172117,1980,12,11,0.0,si
1980-12-12,RC13172117,1980,12,12,0.0,si
1980-12-13,RC13172117,1980,12,13,0.0,si
1980-12-14,RC13172117,1980,12,14,0.0,si
1980-12-15,RC13172117,1980,12,15,0.0,si
1980-12-16,RC13172117,1980,12,16,0.0,si
1980-12-17,RC13172117,1980,12,17,0.0,si
1980-12-18,RC13172117,1980,12,18,0.0,si
1980-12-19,RC13172117,1980,12,19,0.0,si
1980-12-20,RC13172117,1980,12,20,0.0,si
1980-12-21,RC13172117,1980,12,21,0.0,si
1980-12-22,RC13172117,1980,12,22,0.0,si
1980-12-23,RC13172117,1980,12,23,0.0,si
1980-12-24,RC13172117,1980,12,24,0.0,si
1980-12-25,RC13172117,1980,12,25,0.0,si
1980-12-26,RC13172117,1980,12,26,0.0,si
1980-12-27,RC13172117,1980,12,27,0.0,si
1980-12-28,RC13172117,1980,12,28,0.0,si
1980-12-29,RC13172117,1980,12,29,0.0,si
1980-12-30,RC13172117,1980,12,30,0.0,si
1980-12-31,RC13172117,1980,12,31,0.0,si
1981-01-01,RC13172117,1981,1,1,0.0,si
1981-01-02,RC13172117,1981,1,2,0.0,si
1981-01-03,RC13172117,1981,1,3,0.0,si
1981-01-04,RC13172117,1981,1,4,0.0,si
1981-01-05,RC13172117,1981,1,5,0.0,si
1981-01-06,RC13172117,1981,1,6,0.0,si
1981-01-07,RC13172117,1981,1,7,0.0,si
1981-01-08,RC13172117,1981,1,8,0.0,si
1981-01-09,RC13172117,1981,1,9,0.0,si
1981-01-10,RC13172117,1981,1,10,0.0,si
1981-01-11,RC13172117,1981,1,11,0.0,si
1981-01-12,RC13172117,1981,1,12,0.0,si
1981-01-13,RC13172117,1981,1,13,0.0,si
1981-01-14,RC13172117,1981,1,14,0.0,si
1981-01-15,RC13172117,1981,1,15,0.0,si
1981-01-16,RC13172117,1981,1,16,0.0,si
1981-01-17,RC13172117,1981,1,17,0.0,si
1981-01-18,RC13172117,1981,1,18,0.0,si
1981-01-19,RC13172117,1981,1,19,0.0,si
1981-01-20,RC13172117,1981,1,20,0.0,si
1981-01-21,RC13172117,1981,1,21,0.0,si
1981-01-22,RC13172117,1981,1,22,0.0,si
1981-01-23,RC13172117,1981,1,23,0.0,si
1981-01-24,RC13172117,1981,1,24,0.0,si
1981-01-25,RC13172117,1981,1,25,0.0,si
1981-01-26,RC13172117,1981,1,26,0.0,si
1981-01-27,RC13172117,1981,1,27,0.0,si
1981-01-28,RC13172117,1981,1,28,0.0,si
1981-01-29,RC13172117,1981,1,29,0.0,si
1981-01-30,RC13172117,1981,1,30,0.0,si
1981-01-31,RC13172117,1981,1,31,0.0,si
1981-02-01,RC13172117,1981,2,1,0.0,si
1981-02-02,RC13172117,1981,2,2,0.0,si
1981-02-03,RC13172117,1981,2,3,0.0,si
1981-02-04,RC13172117,1981,2,4,0.0,si
1981-02-05,RC13172117,1981,2,5,0.0,si
1981-02-06,RC13172117,1981,2,6,0.0,si
1981-02-07,RC13172117,1981,2,7,0.0,si
1981-02-08,RC13172117,1981,2,8,0.0,si
1981-02-09,RC13172117,1981,2,9,0.0,si
1981-02-10,RC13172117,1981,2,10,0.0,si
1981-02-11,RC13172117,1981,2,11,0.0,si
1981-02-12,RC13172117,1981,2,12,0.0,si
1981-02-13,RC13172117,1981,2,13,0.0005081785330000001,si
1981-02-14,RC13172117,1981,2,14,0.006835523190687083,si
1981-02-15,RC13172117,1981,2,15,0.000276113985449,si
1981-02-16,RC13172117,1981,2,16,0.000276113985449,si
1981-02-17,RC13172117,1981,2,17,0.00014380940126460832,si
1981-02-18,RC13172117,1981,2,18,0.0001323046518709,si
1981-02-19,RC13172117,1981,2,19,0.000276113985449,si
1981-02-20,RC13172117,1981,2,20,0.000276113985449,si
1981-02-21,RC13172117,1981,2,21,0.000276113985449,si
1981-02-22,RC13172117,1981,2,22,0.000276113985449,si
1981-02-23,RC13172117,1981,2,23,0.000276113985449,si
1981-02-24,RC13172117,1981,2,24,0.00014380940126460832,si
1981-02-25,RC13172117,1981,2,25,0.0,si
1981-02-26,RC13172117,1981,2,26,0.0,si
1981-02-27,RC13172117,1981,2,27,0.0,si
1981-02-28,RC13172117,1981,2,28,0.0,si
1981-03-01,RC13172117,1981,3,1,0.0,si
1981-03-02,RC13172117,1981,3,2,0.0,si
1981-03-03,RC13172117,1981,3,3,0.0,si
1981-03-04,RC13172117,1981,3,4,0.0,si
1981-03-05,RC13172117,1981,3,5,0.0,si
1981-03-06,RC13172117,1981,3,6,0.0,si
1981-03-07,RC13172117,1981,3,7,0.0,si
1981-03-08,RC13172117,1981,3,8,0.0,si
1981-03-09,RC13172117,1981,3,9,0.0,si
1981-03-10,RC13172117,1981,3,10,0.0,si
1981-03-11,RC13172117,1981,3,11,0.0,si
1981-03-12,RC13172117,1981,3,12,0.0,si
1981-03-13,RC13172117,1981,3,13,0.0,si
1981-03-14,RC13172117,1981,3,14,0.0,si
1981-03-15,RC13172117,1981,3,15,0.0,si
1981-03-16,RC13172117,1981,3,16,0.0,si
1981-03-17,RC13172117,1981,3,17,0.0,si
1981-03-18,RC13172117,1981,3,18,0.0,si
1981-03-19,RC13172117,1981,3,19,0.0,si
1981-03-20,RC13172117,1981,3,20,0.0,si
1981-03-21,RC13172117,1981,3,21,0.0,si
1981-03-22,RC13172117,1981,3,22,0.0,si
1981-03-23,RC13172117,1981,3,23,0.0,si
1981-03-24,RC13172117,1981,3,24,0.0,si
1981-03-25,RC13172117,1981,3,25,0.0,si
1981-03-26,RC13172117,1981,3,26,0.0,si
1981-03-27,RC13172117,1981,3,27,0.0,si
1981-03-28,RC13172117,1981,3,28,0.0,si
1981-03-29,RC13172117,1981,3,29,0.0,si
